model,MAE,MSE,RMSE,R2
ExtraTrees,1075.0136110883554,7158157.094797026,2675.473246884937,0.9028857139183861
RandomForest,1116.0938005844575,8814838.499049924,2968.9793699266293,0.8804096171091043
Ridge,1294.602156696827,14153350.137741787,3762.093850203871,0.8079823513109305
DecisionTree,1313.5878632495148,8852822.56187402,2975.369315206773,0.8798942896170151
